t,x,y,z
0.000000000000000000e+00,3.039383584794975057e+00,-2.416862069577155048e-01,-6.873467365218827396e+00
1.000000000000000021e-02,2.972661103783341030e+00,-2.776426772929433406e-01,-6.841728569189293729e+00
2.000000000000000042e-02,2.902061439191947922e+00,-3.135771338125342145e-01,-6.805656231916597854e+00
2.999999999999999889e-02,2.827527276692338276e+00,-3.494917066385377358e-01,-6.765248704222702081e+00
4.000000000000000083e-02,2.749009170673061497e+00,-3.853841737617984542e-01,-6.720508042682023842e+00
5.000000000000000278e-02,2.666458414646492248e+00,-4.212521589363799612e-01,-6.671437041415235747e+00
6.000000000000000472e-02,2.579826301261019417e+00,-4.570935683472139299e-01,-6.618038917982406844e+00
7.000000000000000666e-02,2.489063871654546123e+00,-4.929067242704251450e-01,-6.560317184178439121e+00
8.000000000000000167e-02,2.394121785291416060e+00,-5.286904209251129805e-01,-6.498275558835056032e+00
8.999999999999999667e-02,2.294950231013843212e+00,-5.644439523533002490e-01,-6.431917893797232111e+00
9.999999999999999167e-02,2.191498854932490747e+00,-6.001671280926978991e-01,-6.361248104792324831e+00
1.099999999999999867e-01,2.083716695941726815e+00,-6.358602827735552188e-01,-6.286270104294467309e+00
1.199999999999999817e-01,1.971552124858047428e+00,-6.715242823812647144e-01,-6.206987735235333759e+00
1.299999999999999767e-01,1.854952785259211145e+00,-7.071605285429792831e-01,-6.123404705067644116e+00
1.399999999999999856e-01,1.733865535026163585e+00,-7.427709615668675047e-01,-6.035524519959110101e+00
1.499999999999999944e-01,1.608236388036546671e+00,-7.783580626510578915e-01,-5.943350419015667185e+00
1.600000000000000033e-01,1.478010455689451552e+00,-8.139248555143548947e-01,-5.846885308489772726e+00
1.700000000000000122e-01,1.343131888066701363e+00,-8.494749076086576256e-01,-5.746131695957044982e+00
1.800000000000000211e-01,1.203543814607591855e+00,-8.850123310190196602e-01,-5.641091624458301368e+00
1.900000000000000300e-01,1.059188284216256326e+00,-9.205417831244621096e-01,-5.531766606610420745e+00
2.000000000000000389e-01,9.119282642815951245e-01,-9.560684670720205336e-01,-5.418157558692581866e+00
2.100000000000000477e-01,7.710867264685917766e-01,-9.915426755162595196e-01,-5.300265897437854257e+00
2.200000000000000566e-01,6.368255210807859390e-01,-1.026836319284099908e+00,-5.178104653767592325e+00
2.300000000000000655e-01,5.087202490824944690e-01,-1.061845522558879873e+00,-5.051702344251459031e+00
2.400000000000000744e-01,3.863838302867037000e-01,-1.096471826506230318e+00,-4.921099694245087974e+00
2.500000000000000555e-01,2.694632574329445807e-01,-1.130621898174139828e+00,-4.786349000815412147e+00
2.600000000000000644e-01,1.576368015234128339e-01,-1.164207265454615392e+00,-4.647513529155947509e+00
2.700000000000000733e-01,5.061147625489372665e-02,-1.197144075777575978e+00,-4.504666939673121817e+00
2.800000000000000822e-01,-5.187928825099330510e-02,-1.229352876094152336e+00,-4.357892743006842373e+00
2.900000000000000910e-01,-1.500777884025794040e-01,-1.260758412146659513e+00,-4.207283780514928573e+00
3.000000000000000999e-01,-2.442040249688925968e-01,-1.291289445282757020e+00,-4.052941727982716458e+00
3.100000000000001088e-01,-3.344575304011554451e-01,-1.320878585254565030e+00,-3.894976620522755617e+00
3.200000000000001177e-01,-4.210190581760837047e-01,-1.349462137587850163e+00,-3.733506396812178885e+00
3.300000000000001266e-01,-5.040521452557285009e-01,-1.376979964228295827e+00,-3.568656460981094902e+00
3.400000000000001354e-01,-5.837045576520978329e-01,-1.403375356278255159e+00,-3.400559260616291102e+00
3.500000000000001443e-01,-6.601096281719542880e-01,-1.428594917732501246e+00,-3.229353879483527034e+00
3.600000000000001532e-01,-7.333874946319567378e-01,-1.452588459207504012e+00,-3.055185643698799414e+00
3.700000000000001621e-01,-8.036462461417083203e-01,-1.475308900737072770e+00,-2.878205740196293938e+00
3.800000000000001710e-01,-8.709829844317904524e-01,-1.496712182778932032e+00,-2.698570846448905769e+00
3.900000000000001799e-01,-9.354848066429277686e-01,-1.516757184642702594e+00,-2.516442770496836623e+00
4.000000000000001887e-01,-9.972297154821446741e-01,-1.535405649610620982e+00,-2.331988100431422239e+00
4.100000000000001976e-01,-1.058730365216208780e+00,-1.552622116077967629e+00,-2.145377862566566041e+00
4.200000000000002065e-01,-1.122215270171827095e+00,-1.568421466632440753e+00,-1.956785709808737561e+00
4.300000000000002154e-01,-1.187780174295441693e+00,-1.582819381663799430e+00,-1.766382039786505320e+00
4.400000000000002243e-01,-1.255332046054517203e+00,-1.595832897522242000e+00,-1.574335192407158912e+00
4.500000000000002331e-01,-1.324778312922098911e+00,-1.607479618601817872e+00,-1.380811402698427282e+00
