block,time,lambda1,lambda2,lambda3,stretch1,stretch2,stretch3
1,0.5,19.772847908826854,-0.76159690505224575,-55.290058162484684,19661.623210609003,0.68331559627450933,9.8608968971777372e-13
2,1,10.083686033666627,-0.83914339848540376,-27.566091293757367,1.2180632279790391,0.63232931913975499,1.0821369975119028
3,1.5,7.3612910529787072,-0.29033392206343211,-19.206599882126934,2.6071314243987098,1.4972686007933955,0.28828418570979064
4,2,5.5594779720839433,-0.31619490308782872,-15.065229401611562,1.0800629912857143,0.82128185370466722,0.26698602039261166
5,2.5,4.3424073388611877,-0.13268083717852927,-12.020049755071554,0.76878987059713244,1.3507874426164079,1.0836493962900484
6,3,3.2922362033400732,-0.10995720254488346,-10.253051561783673,0.37557025159807328,1.0018321616726062,0.49212117721053616
7,3.5,2.8796782712211146,-0.0076734365826085504,-8.8989285921261594,1.2240503749567706,1.353934204111447,0.67902632149220066
8,4,2.8524838153357184,-0.25284269567956474,-7.8436782745181857,3.7850583847549264,0.37362085416750557,0.7957557192260013
9,4.5,2.6310649668556878,-0.30737365942691508,-7.2830010620556713,1.5370378490161063,0.68948476018158611,0.24689511178719101
10,5,2.2719040205376655,-0.040206546629821018,-6.731820677319365,0.61861495209462058,3.2613745064760882,0.41246719347234029
11,5.5,1.9926660121889519,-0.11806135483727792,-6.2243116204650901,0.67041588475651925,0.63871002764231921,0.5629240704287799
12,6,1.910491169606745,-0.045397876042708896,-5.9283420921003689,1.6541444898263526,1.4578317007637167,0.26280613706331452
13,6.5,1.7386976709772979,-0.03943247669840632,-5.4317895418880209,0.85094127802284425,1.0162060743934065,1.3013738710801914
14,7,1.6600520381431831,0.014637593854581712,-5.2266768466538869,1.37551664952051,1.4315735952576201,0.27800785666524469
15,7.5,1.5627136762561311,0.03142443069251967,-5.0074151117836463,1.1051579930874909,1.1425014046196147,0.37950959021759767
16,8,1.4784309808951468,-0.0083339037852167563,-4.6552837026729064,1.1130402946091569,0.73907604520795245,1.3679916522073048
17,8.5,1.3526612427718787,-0.10469854017811049,-4.4314537835968153,0.71904791407459967,0.43899539257639814,0.65371255715750054
18,9,1.1437298870047479,-0.050051400505745421,-4.0871884483620295,0.29997636807313782,1.5518922409334255,2.4173239567334952
19,9.5,1.0883424741964673,0.067389184515310299,-3.9792585139758394,1.0467441339316643,2.9762373171192666,0.36122297663643121
20,10,1.0222669604987045,0.060514791731147009,-3.9173778189413779,0.88995542669134098,0.96555777872558579,0.2538980916003723
21,10.5,1.0104553168337338,0.090815230010665507,-3.7896397025926478,1.472720280716646,1.4168158545256275,0.53932404729210015
22,11,1.0263069093562989,-0.050385874524401991,-3.7228476109996276,1.9730788211972516,0.22139551090085111,0.31345268862547737
23,11.5,0.90123637795279476,0.11638225566722941,-3.6348453993666654,0.39646890826207742,6.636870618108178,0.42767215422709809
24,12,0.99072712363241733,-0.025773777160826239,-3.4632886193322343,4.592879351687869,0.19249573793379771,1.2728502291008799
25,12.5,0.99296376664309316,-0.059143065946255194,-3.4429689759142366,1.6876239610213868,0.65050714424089318,0.22817354735998591
26,13,0.93234508842090391,0.016271462187281319,-3.3521756974127106,0.74709648896209335,2.5878239084404555,0.58206574865295235
27,13.5,0.80847173501918224,0.11289574293726207,-3.227158913267568,0.29935721289460859,3.7156867553947897,1.011706730886123
28,14,0.69764388209988681,0.12512173898971116,-3.1595520971005184,0.31747567639596946,1.2555978280866662,0.51320288211135756
29,14.5,0.76258608365848224,0.010500000692088547,-3.0211499555501726,3.6345447544437257,0.20200671575520709,1.5327369659618697
30,15,0.82463664419235816,0.0072047191060099439,-2.997097470007406,3.7137845456217469,0.9567824642562146,0.31670400020087563
31,15.5,0.81115222142790433,-0.012305244981811434,-2.9907821881212149,1.2254520168068861,0.74170619057400267,0.24643380385373934
32,16,0.74398096745265174,0.04955215433453608,-2.9095900748625461,0.51213656914965855,2.673974029946387,0.82175146642725039
33,16.5,0.65300174069318018,0.061789264145681581,-2.8739090534686924,0.32330253353285221,1.2544389101310394,0.4206062380829842
34,17,0.69880596041478371,0.036244992816338743,-2.8237193809154491,3.0197456488773664,0.66807289942372805,0.55781378366463297
35,17.5,0.72136478123313863,-0.00057072429451062562,-2.7430385563029076,2.1047197955660981,0.53464486671514189,1.000054741760025
36,18,0.7280967497889862,-0.0085378787266160907,-2.7443089205063473,1.6190795756862801,0.86615262732452558,0.24798529378898906
37,18.5,0.71113409357933177,0.021034009488900968,-2.7109237191659812,1.0515226273197711,1.7208373308419254,0.47023240138511241
38,19,0.67066785183248234,0.0081148890857844352,-2.6394704267318834,0.66146940568864521,0.79061331793107692,1.0021530110718413
39,19.5,0.59334150937236996,0.055615473938901032,-2.607999678014477,0.30958278213999424,2.5353174326363361,0.49358726183629298
40,20,0.64568554902532171,-0.012796861700975848,-2.5370510880720389,3.8326311349921105,0.26173074988623979,1.1218419805039919
41,20.5,0.6849347723077247,-0.010795447971656833,-2.5260985186382729,3.0877783502015923,1.0352371703887948,0.35204443672918451
42,21,0.66817009406518879,-0.015976242021032615,-2.5236675746102186,0.99045498864580983,0.89208451866632965,0.29760164909342662
43,21.5,0.63081710601511842,0.0041582713698845404,-2.4574341514374982,0.62562495800100149,1.5294434589255945,1.1760775732023563
44,22,0.53235612609844196,0.055919256490356013,-2.4504219946553207,0.15712195289065797,3.1293358963042199,0.34148564823832034
45,22.5,0.59492186248163159,0.0020860625762034461,-2.4125252998891615,5.3329637360034026,0.30627029962710389,0.68898528510104207
46,23,0.62952896830906258,-0.026037711078323495,-2.3744067529675301,2.9844765319097482,0.52424100732020007,0.71925734056157398
47,23.5,0.63075099655884748,-0.039815077580813166,-2.3854671930358897,1.4098483536799127,0.71406094128312725,0.23524594960068732
48,24,0.60432283118315855,-0.0019528323994802144,-2.3545950158087177,0.72694789829433382,2.4321760380759074,0.63648059845105531
49,24.5,0.51763519045656248,0.031310499188049117,-2.3185662435547112,0.16175284090345846,2.2568616723916102,0.74483498060523334
