figure_id,caption_key,kind,source_script,source_function,data_sources,run_id,system_id,q,parameters,integrator,memory_mode,t_final,t_burn,pdf_path,png_path,metadata_path,created_at,git_commit,report_targets
nyquist,fig_nyquist,nyquist,legacy_or_workflow_interception,unknown,[],integer_lure_seed,chua_nonsmooth,1.0,{},unknown,unknown,0.0,0.0,library_figures/by_run/integer_lure_seed/pdf/nyquist.pdf,library_figures/by_run/integer_lure_seed/png/nyquist.png,library_figures/by_run/integer_lure_seed/metadata/nyquist.json,2026-06-08T18:00:35.770176+00:00,23735ba1b9976f600079299657f3564ae12c51f0,[]
transfer_components,fig_transfer_components,transfer,legacy_or_workflow_interception,unknown,[],integer_lure_seed,chua_nonsmooth,1.0,{},unknown,unknown,0.0,0.0,library_figures/by_run/integer_lure_seed/pdf/transfer_components.pdf,library_figures/by_run/integer_lure_seed/png/transfer_components.png,library_figures/by_run/integer_lure_seed/metadata/transfer_components.json,2026-06-08T18:00:36.780157+00:00,23735ba1b9976f600079299657f3564ae12c51f0,[]
continuation,fig_continuation,continuation,legacy_or_workflow_interception,unknown,[],integer_lure_seed,chua_nonsmooth,1.0,{},unknown,unknown,0.0,0.0,library_figures/by_run/integer_lure_seed/pdf/continuation.pdf,library_figures/by_run/integer_lure_seed/png/continuation.png,library_figures/by_run/integer_lure_seed/metadata/continuation.json,2026-06-08T18:00:37.532393+00:00,23735ba1b9976f600079299657f3564ae12c51f0,[]
hiddenness,fig_hiddenness,sphere_test,legacy_or_workflow_interception,unknown,[],integer_lure_hiddenness,chua_nonsmooth,1.0,{},unknown,unknown,0.0,0.0,library_figures/by_run/integer_lure_hiddenness/pdf/hiddenness.pdf,library_figures/by_run/integer_lure_hiddenness/png/hiddenness.png,library_figures/by_run/integer_lure_hiddenness/metadata/hiddenness.json,2026-06-08T18:00:38.115843+00:00,23735ba1b9976f600079299657f3564ae12c51f0,[]
test_contract_fig,test_fig_key,attractor,test_figure_export_contract.py,test_export_figure_saves_both_formats,[],test_run_export_contract,chua_nonsmooth,1.0,"{""alpha"": 10.0}",unknown,unknown,10.0,0.0,library_figures/by_run/test_run_export_contract/pdf/test_contract_fig.pdf,library_figures/by_run/test_run_export_contract/png/test_contract_fig.png,library_figures/by_run/test_run_export_contract/metadata/test_contract_fig.json,2026-06-08T18:38:06.549789+00:00,23735ba1b9976f600079299657f3564ae12c51f0,[]
centered_q9998_m1_m1p1468_m0_m0p1768_br0_phase,fig_centered_q9998_m1_m1p1468_m0_m0p1768_br0_phase,attractor,legacy_or_workflow_interception,unknown,[],step1_centered,chua_nonsmooth,1.0,{},unknown,unknown,0.0,0.0,library_figures/by_run/step1_centered/pdf/centered_q9998_m1_m1p1468_m0_m0p1768_br0_phase.pdf,library_figures/by_run/step1_centered/png/centered_q9998_m1_m1p1468_m0_m0p1768_br0_phase.png,library_figures/by_run/step1_centered/metadata/centered_q9998_m1_m1p1468_m0_m0p1768_br0_phase.json,2026-06-08T19:53:09.166799+00:00,4b879dea140943ff8dabcb745f20eef3a9ea349a,[]
centered_q9998_m1_m1p1468_m0_m0p2000_br0_phase,fig_centered_q9998_m1_m1p1468_m0_m0p2000_br0_phase,attractor,legacy_or_workflow_interception,unknown,[],step1_centered,chua_nonsmooth,1.0,{},unknown,unknown,0.0,0.0,library_figures/by_run/step1_centered/pdf/centered_q9998_m1_m1p1468_m0_m0p2000_br0_phase.pdf,library_figures/by_run/step1_centered/png/centered_q9998_m1_m1p1468_m0_m0p2000_br0_phase.png,library_figures/by_run/step1_centered/metadata/centered_q9998_m1_m1p1468_m0_m0p2000_br0_phase.json,2026-06-08T19:53:27.763647+00:00,4b879dea140943ff8dabcb745f20eef3a9ea349a,[]
centered_q9998_m1_m1p1468_m0_m0p2400_br0_phase,fig_centered_q9998_m1_m1p1468_m0_m0p2400_br0_phase,attractor,legacy_or_workflow_interception,unknown,[],step1_centered,chua_nonsmooth,1.0,{},unknown,unknown,0.0,0.0,library_figures/by_run/step1_centered/pdf/centered_q9998_m1_m1p1468_m0_m0p2400_br0_phase.pdf,library_figures/by_run/step1_centered/png/centered_q9998_m1_m1p1468_m0_m0p2400_br0_phase.png,library_figures/by_run/step1_centered/metadata/centered_q9998_m1_m1p1468_m0_m0p2400_br0_phase.json,2026-06-08T19:53:42.869531+00:00,4b879dea140943ff8dabcb745f20eef3a9ea349a,[]
centered_q9998_m1_m1p2000_m0_m0p1768_br1_phase,fig_centered_q9998_m1_m1p2000_m0_m0p1768_br1_phase,attractor,legacy_or_workflow_interception,unknown,[],step1_centered,chua_nonsmooth,1.0,{},unknown,unknown,0.0,0.0,library_figures/by_run/step1_centered/pdf/centered_q9998_m1_m1p2000_m0_m0p1768_br1_phase.pdf,library_figures/by_run/step1_centered/png/centered_q9998_m1_m1p2000_m0_m0p1768_br1_phase.png,library_figures/by_run/step1_centered/metadata/centered_q9998_m1_m1p2000_m0_m0p1768_br1_phase.json,2026-06-08T19:53:58.962881+00:00,4b879dea140943ff8dabcb745f20eef3a9ea349a,[]
centered_q9998_m1_m1p2500_m0_m0p1768_br1_phase,fig_centered_q9998_m1_m1p2500_m0_m0p1768_br1_phase,attractor,legacy_or_workflow_interception,unknown,[],step1_centered,chua_nonsmooth,1.0,{},unknown,unknown,0.0,0.0,library_figures/by_run/step1_centered/pdf/centered_q9998_m1_m1p2500_m0_m0p1768_br1_phase.pdf,library_figures/by_run/step1_centered/png/centered_q9998_m1_m1p2500_m0_m0p1768_br1_phase.png,library_figures/by_run/step1_centered/metadata/centered_q9998_m1_m1p2500_m0_m0p1768_br1_phase.json,2026-06-08T19:54:16.682746+00:00,4b879dea140943ff8dabcb745f20eef3a9ea349a,[]
