time,lambda_1,lambda_2,lambda_3
0.5,-5.331940689611829,-3.04817850637515,-14.344149630076618
1.0,-1.508629814426671,-1.0655548823152399,-16.720798097987327
1.5,-1.3929107781298204,-0.527802513899902,-18.923803830921006
2.0,-0.9462766190869293,0.03478162089390863,-19.146197881500516
2.5,-0.43841764387053284,-0.5473761855004575,-19.208934304494512
3.0,-0.502487976448594,0.25617452103795896,-19.194423163314493
3.5,-0.23181758138704006,-0.15579232121713943,-19.688740029109464
4.0,0.18447169299595542,-0.1250204172886281,-19.83211777022772
4.5,-0.1282753444599192,0.16599460579553132,-19.907709048014492
5.0,0.15655092467989726,0.2556227993748991,-19.90738490398343
5.5,0.06453153386986175,-0.06275338266517308,-19.86100448686639
6.0,0.3622156915264417,0.18449251640284028,-20.263141736007963
6.5,0.24288964837485744,0.29641024404029326,-20.331354479620042
7.0,0.3485458636770956,0.28319796609016984,-20.299224319422233
7.5,0.3148540112742521,0.139713535389145,-20.28909252017342
8.0,0.4810331390477943,0.17909905908795704,-20.51674930798861
8.5,0.4387592662817091,0.21093832423630318,-20.539117255840736
9.0,0.45250443612022434,0.16073955952879515,-20.52845749856219
9.5,0.4839976246489073,0.018465522161596488,-20.445547632051472
10.0,0.48938055353523424,0.06099413494718468,-20.581300156076864
10.5,0.5042045491159344,0.03848567145513889,-20.57972044872139
11.0,0.4559844001954722,-0.031666928137492174,-20.545257615490232
11.5,0.5193584402742741,0.09447897642469207,-20.724446793965306
12.0,0.48610711410037716,0.06484414842513683,-20.75967588212221
12.5,0.5551696451542044,0.0861180085074492,-20.845477579579768
13.0,0.4362177321531772,0.010055555372324106,-20.703711178116983
13.5,0.40831396826919036,0.13689284306271526,-20.76996335696383
14.0,0.38525186678162016,0.14258011984373595,-20.8597550077841
14.5,0.5099399168179057,0.027823242531551332,-20.88009938143391
15.0,0.4612410096938068,0.10527826317216073,-20.905803928767035
15.5,0.5311507692597415,0.017746765940877148,-20.90655306723806
16.0,0.5235545493107541,0.0707656269183271,-20.926808635957155
16.5,0.5378882671315872,-0.10806967586392703,-20.81325336961131
17.0,0.5406613250729462,-0.04284592859233163,-20.82175736284344
17.5,0.5082344195823061,-0.023575695140269772,-20.90654834032705
18.0,0.370867992084538,0.1185887584961572,-20.90986702579837
18.5,0.5096433257490796,0.003421588380660018,-20.91438845884871
19.0,0.4831813410161438,0.014051983387258707,-20.906335310612985
19.5,0.5026323366059828,0.037543552317141723,-20.901764368158315
20.0,0.5092005359622516,-0.07741289646138153,-20.839661414584562
20.5,0.49348260202167804,0.001494355952763934,-20.81818634194679
21.0,0.4481328053979739,0.031916280796229914,-20.89585040632313
21.5,0.4480038652713728,0.0412813731406597,-20.8880970897535
22.0,0.44072924955071036,0.06774837534601845,-20.878336701725644
22.5,0.4552531477441933,0.05312218293000366,-20.866573331900884
23.0,0.5113753547097937,0.02800640637108869,-20.850060863788826
23.5,0.5004350377202537,-0.005138976732843482,-20.81981893967205
24.0,0.5349510462755954,0.015116777197957417,-20.784794235535824
24.5,0.4776087572100375,0.049913760340470285,-20.83841864656215
25.0,0.5817264694917269,-0.025036878156653043,-20.818691372742254
25.5,0.5321833195651411,-0.009005095166254582,-20.793199777420675
26.0,0.5810868876551815,-0.005859370691130754,-20.759707022274238
26.5,0.5283237467245742,0.018260891976632786,-20.798273854415534
27.0,0.6091743713052199,-0.021422081211143203,-20.784376936945097
27.5,0.5620086599341727,-0.020468588097107113,-20.758008765115722
28.0,0.5386213198055453,0.05075067393993745,-20.720256067377143
28.5,0.550525840866655,-0.015616888155156505,-20.739330298313703
29.0,0.5944734169483289,-0.0002483507901928524,-20.777417461509653
29.5,0.5567621738545117,0.06812757121245482,-20.782045689364256
30.0,0.5999365785778428,0.042854058449711345,-20.788826834700544
30.5,0.602896627325768,0.06669216886895497,-20.793111172538687
31.0,0.6169981175612802,0.052053335208385634,-20.79818725386901
31.5,0.6075241313838267,0.0650704339199957,-20.789877643945267
32.0,0.6176341846965149,0.026765269408671667,-20.777379281040613
32.5,0.6324503079219105,0.03541125589126925,-20.814528456944927
33.0,0.619887078472867,0.029409802536632147,-20.800421263612918
33.5,0.5771743954908995,0.018991992576304878,-20.76354306260914
34.0,0.578877000502979,0.02563348677015065,-20.770548279922217
34.5,0.5893464908623245,-0.009358391202800832,-20.78191980785331
35.0,0.5894815461002835,0.008015921498610776,-20.80537422356003
35.5,0.5989743096203816,0.025959475263977426,-20.835561122925178
36.0,0.5991086286101635,0.024528698770856117,-20.84325311240505
36.5,0.6130117286168087,0.035293625039029546,-20.865185500287875
37.0,0.5942900953507949,-0.04068001956159433,-20.790463615063846
37.5,0.5832773203814401,0.001847417120899344,-20.808494186480374
38.0,0.5817869669163206,-0.0030253906805659046,-20.843090693168744
38.5,0.5924119054968701,-0.012196327495013627,-20.849445992706627
39.0,0.5550678122572088,0.03606866501325877,-20.85861998719198
39.5,0.5906518440742773,-0.010586636457826482,-20.85684724474903
40.0,0.551218894886896,0.048647060567590966,-20.863622640422076
40.5,0.5856664465653214,-0.020221515823786656,-20.85544311207176
41.0,0.5955113402801968,-0.004617694533394166,-20.857042122896036
41.5,0.5669849337963027,0.013864755199642953,-20.88634140497707
42.0,0.5824992061742466,0.008053964856770826,-20.888524038299156
42.5,0.5820862398256988,-0.0007448155424546361,-20.88461271008344
43.0,0.579025208206474,0.02165591487216131,-20.882344186224543
43.5,0.5872583788702678,-0.02637040716324873,-20.86664134284449
44.0,0.5822261109842292,0.006111159296744273,-20.856710668489374
44.5,0.5479068268127533,0.03141367226335726,-20.8905923740771
45.0,0.5683884775796566,0.017417966157029126,-20.88692644851546
45.5,0.5566972126989024,0.03169447236695359,-20.882229583346028
46.0,0.5739542996150648,0.024162299837249636,-20.876192055486193
46.5,0.580061623458514,0.013790869803899217,-20.869047752555456
47.0,0.6052839865720889,0.006513224194665742,-20.85810909069471
47.5,0.5925059131968414,-0.052617820374743676,-20.80179004077198
48.0,0.590518366504153,-0.02144800461633779,-20.780368238799504
48.5,0.5885797365443276,-0.027649878796925934,-20.81786936788017
49.0,0.5990900372030988,-0.03495339805769732,-20.810291099517798
49.5,0.5675816285198753,0.009130771990772932,-20.801015570231385
50.0,0.60026329276548,-0.029159039372758412,-20.79292232539551
50.5,0.5712613939152463,0.024417231244854735,-20.781688394630404
51.0,0.5982185016333672,-0.049568520242160026,-20.756526309426008
51.5,0.6065717502032526,-0.0005194746832536606,-20.770188497924934
52.0,0.5820765045879173,-0.01255353732803224,-20.770040625374325
52.5,0.5968079880737442,0.017451996984192794,-20.797035653995085
53.0,0.5974087672250968,0.023413769125227638,-20.80044204808481
53.5,0.606098984976402,0.035979716420808244,-20.800775747380214
54.0,0.6061654182630941,0.025373013474611735,-20.802144670601777
54.5,0.6059879119830534,0.0174718652644624,-20.780167878825992
55.0,0.5755744886357754,0.021694671543211506,-20.770160956102927
55.5,0.5940461809006933,0.0323958770937122,-20.806949948945224
56.0,0.6002541769618898,0.026420921948307478,-20.807527443976948
56.5,0.6033590533830923,0.019511246266121406,-20.80555305670937
57.0,0.6020575904977059,0.013337351744524426,-20.801925605126105
57.5,0.6095926422348779,-0.0004927070948817353,-20.796288127923464
58.0,0.5803180569899546,-0.003502050614909596,-20.77389554020854
58.5,0.593701140786682,0.021346970632006648,-20.808246951869815
59.0,0.5897441989282913,0.017158658554779778,-20.823004921745408
59.5,0.601113262026698,0.012884517151230372,-20.833129982846387
60.0,0.5973132020632098,0.023473867183615563,-20.842155495298933
60.5,0.6086633112598386,0.014496156910574537,-20.847968334665858
61.0,0.6100696686574837,0.01978341974609773,-20.85531156280487
