series,stride,effective_sample_step,samples,K,state
flow_y1,5,0.1,1601,0.15128179208934295,zero_one_regular_candidate
flow_y1,10,0.2,801,0.5918956547584547,zero_one_inconclusive
flow_y1,15,0.3,534,0.6743008937692748,zero_one_inconclusive
flow_y1,20,0.4,401,0.2081908039524349,zero_one_inconclusive
flow_y1,25,0.5,321,0.12136200292168925,zero_one_regular_candidate
flow_y1,30,0.6,267,0.2966827521979756,zero_one_inconclusive
flow_y1,40,0.8,201,0.5957914777420279,zero_one_inconclusive
flow_y1,50,1.0,161,0.12296511963511222,zero_one_regular_candidate
flow_y1,75,1.5,107,0.3467636735850771,zero_one_inconclusive
flow_y1,100,2.0,81,nan,insufficient_samples
