stage,node_index,xi,gamma,x_in,x_out,status,system_rebuilt_at_node,lure_rebuilt_at_node
xi,0,3.09,0.1,"[0.5632159130208072,0.11086824817405577,1.4909270460638209]","[-0.536002130734856,-0.08306808655761061,-1.8922323630574458]",ok,True,True
xi,1,3.08,0.1,"[-0.536002130734856,-0.08306808655761061,-1.8922323630574458]","[0.4351353465474856,0.007209636408064298,2.3053587035373675]",ok,True,True
xi,2,3.07,0.1,"[0.4351353465474856,0.007209636408064298,2.3053587035373675]","[-0.08487910966054156,0.10102277665910483,-1.676496128041151]",ok,True,True
xi,3,3.06,0.1,"[-0.08487910966054156,0.10102277665910483,-1.676496128041151]","[-0.5904722687697563,-0.1468191529031963,-0.6873813641857861]",ok,True,True
xi,4,3.05,0.1,"[-0.5904722687697563,-0.1468191529031963,-0.6873813641857861]","[0.39014220227913254,-0.0183526306106866,2.3602968730742786]",ok,True,True
xi,5,3.04,0.1,"[0.39014220227913254,-0.0183526306106866,2.3602968730742786]","[0.5919635471954473,0.15405621364865577,0.41701258891948423]",ok,True,True
xi,6,3.03,0.1,"[0.5919635471954473,0.15405621364865577,0.41701258891948423]","[-0.23160103262491605,0.07606139850790361,-2.1020624444904445]",ok,True,True
xi,7,3.02,0.1,"[-0.23160103262491605,0.07606139850790361,-2.1020624444904445]","[-0.5252054399742467,-0.0709247172150247,-2.1908444803637375]",ok,True,True
xi,8,3.01,0.1,"[-0.5252054399742467,-0.0709247172150247,-2.1908444803637375]","[-0.5987956919223051,-0.1517452728845258,-0.8672697992403055]",ok,True,True
xi,9,3.0,0.1,"[-0.5987956919223051,-0.1517452728845258,-0.8672697992403055]","[-0.5476793590617232,-0.15929257118990367,0.35199178559903344]",ok,True,True
xi,10,2.99,0.1,"[-0.5476793590617232,-0.15929257118990367,0.35199178559903344]","[-0.37088711966831067,-0.14752843452520234,0.969524930334549]",ok,True,True
xi,11,2.98,0.1,"[-0.37088711966831067,-0.14752843452520234,0.969524930334549]","[-0.3539737348209892,-0.1475148346497959,1.028518594712652]",ok,True,True
xi,12,2.97,0.1,"[-0.3539737348209892,-0.1475148346497959,1.028518594712652]","[-0.5278322396028431,-0.16160213629185974,0.537731468891912]",ok,True,True
xi,13,2.96,0.1,"[-0.5278322396028431,-0.16160213629185974,0.537731468891912]","[-0.6086139807571767,-0.16579664733656826,-0.5770116930613615]",ok,True,True
xi,14,2.95,0.1,"[-0.6086139807571767,-0.16579664733656826,-0.5770116930613615]","[-0.5661056941203828,-0.10781417876551078,-2.026623477657265]",ok,True,True
xi,15,2.94,0.1,"[-0.5661056941203828,-0.10781417876551078,-2.026623477657265]","[-0.3688620659946662,0.03260012927655963,-2.5800328520569815]",ok,True,True
xi,16,2.93,0.1,"[-0.3688620659946662,0.03260012927655963,-2.5800328520569815]","[0.48199992819194293,0.1627648638351473,-0.8124600860150212]",ok,True,True
xi,17,2.92,0.1,"[0.48199992819194293,0.1627648638351473,-0.8124600860150212]","[0.5542653091051031,0.09480260607270888,2.253933056787548]",ok,True,True
xi,18,2.91,0.1,"[0.5542653091051031,0.09480260607270888,2.253933056787548]","[-0.11898360795950502,-0.1364477451385433,1.633661391313083]",ok,True,True
xi,19,2.9,0.1,"[-0.11898360795950502,-0.1364477451385433,1.633661391313083]","[-0.5458208890658088,-0.08601140274709056,-2.3867134448552965]",ok,True,True
xi,20,2.89,0.1,"[-0.5458208890658088,-0.08601140274709056,-2.3867134448552965]","[0.5692553914886419,0.17625617101786714,-0.502620106444457]",ok,True,True
xi,21,2.88,0.1,"[0.5692553914886419,0.17625617101786714,-0.502620106444457]","[0.29753310282089596,-0.06371925779632606,2.5838297711155587]",ok,True,True
xi,22,2.87,0.1,"[0.29753310282089596,-0.06371925779632606,2.5838297711155587]","[-0.5442874126479218,-0.08365139562312204,-2.4855409123498498]",ok,True,True
xi,23,2.86,0.1,"[-0.5442874126479218,-0.08365139562312204,-2.4855409123498498]","[0.6198935583674994,0.16948241355842256,1.195311673621289]",ok,True,True
xi,24,2.85,0.1,"[0.6198935583674994,0.16948241355842256,1.195311673621289]","[-0.615120542486357,-0.1874907799163435,0.08305531449610232]",ok,True,True
gamma,0,2.85,0.10250000000000001,"[-0.615120542486357,-0.1874907799163435,0.08305531449610232]","[0.20882655679906462,0.15013200221353148,-1.5973012283169288]",ok,True,True
gamma,1,2.85,0.10500000000000001,"[0.20882655679906462,0.15013200221353148,-1.5973012283169288]","[0.3394492058566727,-0.05093308797889399,2.7256317378787727]",ok,True,True
gamma,2,2.85,0.10750000000000001,"[0.3394492058566727,-0.05093308797889399,2.7256317378787727]","[-0.5662008813385448,-0.09982490115658815,-2.4003624907957493]",ok,True,True
gamma,3,2.85,0.11000000000000001,"[-0.5662008813385448,-0.09982490115658815,-2.4003624907957493]","[0.6232865901188188,0.18713773598601693,0.00918971892829221]",ok,True,True
gamma,4,2.85,0.11250000000000002,"[0.6232865901188188,0.18713773598601693,0.00918971892829221]","[0.26512414521669087,-0.07975000912955338,2.546230249200252]",ok,True,True
