stage,node_index,xi,gamma,x_in,x_out,status,system_rebuilt_at_node,lure_rebuilt_at_node
xi,0,3.09,0.1,"[0.32519591868243997,-0.010501929814293045,0.7005494274170169]","[0.11213082819707954,-0.02525933248090452,0.03589969515880545]",ok,True,True
xi,1,3.08,0.1,"[0.11213082819707954,-0.02525933248090452,0.03589969515880545]","[0.030591453591518755,0.005271804453465258,-0.23656735469340728]",ok,True,True
xi,2,3.07,0.1,"[0.030591453591518755,0.005271804453465258,-0.23656735469340728]","[0.29844878689485277,0.025209097159545165,0.12407781505281873]",ok,True,True
xi,3,3.06,0.1,"[0.29844878689485277,0.025209097159545165,0.12407781505281873]","[0.39347399038569203,0.021399120700042466,0.5276645057360763]",ok,True,True
xi,4,3.05,0.1,"[0.39347399038569203,0.021399120700042466,0.5276645057360763]","[0.3690043880091226,0.005233037372496554,0.7008622761555708]",ok,True,True
xi,5,3.04,0.1,"[0.3690043880091226,0.005233037372496554,0.7008622761555708]","[0.3556746206137427,0.0004705277898143607,0.690022389057934]",ok,True,True
xi,6,3.03,0.1,"[0.3556746206137427,0.0004705277898143607,0.690022389057934]","[0.35877741330714635,0.0015851686931528212,0.6917142322118413]",ok,True,True
xi,7,3.02,0.1,"[0.35877741330714635,0.0015851686931528212,0.6917142322118413]","[0.39170101596242696,0.022788073083281412,0.48717156349093005]",ok,True,True
xi,8,3.01,0.1,"[0.39170101596242696,0.022788073083281412,0.48717156349093005]","[0.21346008497277452,0.01970204010008785,-0.06084877742544634]",ok,True,True
xi,9,3.0,0.1,"[0.21346008497277452,0.01970204010008785,-0.06084877742544634]","[0.12242933391186783,-0.006472435540043875,-0.13401328914389438]",ok,True,True
xi,10,2.99,0.1,"[0.12242933391186783,-0.006472435540043875,-0.13401328914389438]","[0.09033874946167139,-0.024279473214550682,-0.01884804262969657]",ok,True,True
xi,11,2.98,0.1,"[0.09033874946167139,-0.024279473214550682,-0.01884804262969657]","[0.09936718902210724,-0.02427699790630475,-0.003195882686396756]",ok,True,True
xi,12,2.97,0.1,"[0.09936718902210724,-0.02427699790630475,-0.003195882686396756]","[0.07888133593993507,-0.02345576463549699,-0.04759714914846217]",ok,True,True
xi,13,2.96,0.1,"[0.07888133593993507,-0.02345576463549699,-0.04759714914846217]","[0.38866804507031355,0.013844413737044193,0.6795350502666999]",ok,True,True
xi,14,2.95,0.1,"[0.38866804507031355,0.013844413737044193,0.6795350502666999]","[0.1613586012190407,-0.025383527142366667,0.14858742667226854]",ok,True,True
xi,15,2.94,0.1,"[0.1613586012190407,-0.025383527142366667,0.14858742667226854]","[0.35288362162107323,0.027936758616889382,0.17626478667028822]",ok,True,True
xi,16,2.93,0.1,"[0.35288362162107323,0.027936758616889382,0.17626478667028822]","[0.29234752040031586,-0.01746668726384082,0.6022688946526625]",ok,True,True
xi,17,2.92,0.1,"[0.29234752040031586,-0.01746668726384082,0.6022688946526625]","[0.3410067604792701,-0.00555096991860678,0.7141739501307586]",ok,True,True
xi,18,2.91,0.1,"[0.3410067604792701,-0.00555096991860678,0.7141739501307586]","[0.37915370631749024,0.009875862088337923,0.6739049895731599]",ok,True,True
xi,19,2.9,0.1,"[0.37915370631749024,0.009875862088337923,0.6739049895731599]","[0.368325085669911,0.0038809868643992903,0.7404828444780492]",ok,True,True
xi,20,2.89,0.1,"[0.368325085669911,0.0038809868643992903,0.7404828444780492]","[0.38150587676873027,0.01068698660820412,0.6889542689375412]",ok,True,True
xi,21,2.88,0.1,"[0.38150587676873027,0.01068698660820412,0.6889542689375412]","[0.34060372197375266,0.020098809500112228,0.33725362297693967]",ok,True,True
xi,22,2.87,0.1,"[0.34060372197375266,0.020098809500112228,0.33725362297693967]","[0.3785109328911085,0.022962016710382536,0.27990389113722836]",ok,True,True
xi,23,2.86,0.1,"[0.3785109328911085,0.022962016710382536,0.27990389113722836]","[0.27052060770491343,-0.021183876848126476,0.5382277151507235]",ok,True,True
xi,24,2.85,0.1,"[0.27052060770491343,-0.021183876848126476,0.5382277151507235]","[0.3553086057683108,0.01704707206425551,0.22036110986505864]",ok,True,True
gamma,0,2.85,0.10250000000000001,"[0.3553086057683108,0.01704707206425551,0.22036110986505864]","[0.37361629436104304,0.0057358520140577945,0.7149199639589383]",ok,True,True
gamma,1,2.85,0.10500000000000001,"[0.37361629436104304,0.0057358520140577945,0.7149199639589383]","[0.3987130659734981,0.01644147301347131,0.6560704331642844]",ok,True,True
gamma,2,2.85,0.10750000000000001,"[0.3987130659734981,0.01644147301347131,0.6560704331642844]","[0.29749368894591827,-0.010899257869368536,0.3841814819152914]",ok,True,True
gamma,3,2.85,0.11000000000000001,"[0.29749368894591827,-0.010899257869368536,0.3841814819152914]","[0.2357350970619077,-0.005725021585529483,0.011307302172135382]",ok,True,True
gamma,4,2.85,0.11250000000000002,"[0.2357350970619077,-0.005725021585529483,0.011307302172135382]","[0.20769595446277353,-0.03290386768543709,0.36977937260830174]",ok,True,True
gamma,5,2.85,0.11500000000000002,"[0.20769595446277353,-0.03290386768543709,0.36977937260830174]","[0.31355952983628727,0.009462928753615806,0.026977120390627544]",ok,True,True
gamma,6,2.85,0.11750000000000002,"[0.31355952983628727,0.009462928753615806,0.026977120390627544]","[0.3947066704740273,0.006885054776370777,0.756572323270456]",ok,True,True
gamma,7,2.85,0.12000000000000002,"[0.3947066704740273,0.006885054776370777,0.756572323270456]","[0.1920491303767505,0.02399336986284139,-0.08034527124126878]",ok,True,True
gamma,8,2.85,0.12250000000000003,"[0.1920491303767505,0.02399336986284139,-0.08034527124126878]","[0.4038731495391688,0.016648561037610556,0.442525912911951]",ok,True,True
gamma,9,2.85,0.12500000000000003,"[0.4038731495391688,0.016648561037610556,0.442525912911951]","[0.2659270390797109,-0.025611513738819307,0.39252415660486917]",ok,True,True
gamma,10,2.85,0.12750000000000003,"[0.2659270390797109,-0.025611513738819307,0.39252415660486917]","[0.42090033376111036,0.026505087609622058,0.2901113372244164]",ok,True,True
gamma,11,2.85,0.13000000000000003,"[0.42090033376111036,0.026505087609622058,0.2901113372244164]","[0.18990982028674117,-0.03606459243017558,0.244356707842718]",ok,True,True
gamma,12,2.85,0.13250000000000003,"[0.18990982028674117,-0.03606459243017558,0.244356707842718]","[0.2680755844330609,-0.030291692416890306,0.45467182851743265]",ok,True,True
