series,stride,effective_sample_step,samples,K,state
flow_y1,5,0.1,6001,0.3510364733541419,zero_one_inconclusive
flow_y1,10,0.2,3001,0.8160278395373031,zero_one_chaotic_candidate
flow_y1,15,0.3,2001,0.8141821465527947,zero_one_chaotic_candidate
flow_y1,20,0.4,1501,0.19703187612300035,zero_one_regular_candidate
flow_y1,25,0.5,1201,0.6134025958524147,zero_one_inconclusive
flow_y1,30,0.6,1001,0.24932287785928348,zero_one_inconclusive
flow_y1,40,0.8,751,0.8737555954615115,zero_one_chaotic_candidate
flow_y1,50,1.0,601,0.46166985480685785,zero_one_inconclusive
flow_y1,75,1.5,401,0.605352940967365,zero_one_inconclusive
flow_y1,100,2.0,301,0.472203631878377,zero_one_inconclusive
