stage,node_index,xi,gamma,x_in,x_out,status,system_rebuilt_at_node,lure_rebuilt_at_node
xi,0,3.09,0.1,"[0.2915793511061912,-0.018437647067552035,0.6264299661927551]","[0.16390552283153095,0.011760245051931944,-0.1402000245613319]",ok,True,True
xi,1,3.08,0.1,"[0.16390552283153095,0.011760245051931944,-0.1402000245613319]","[0.3237398531717766,-0.010114795733257952,0.6723179274552668]",ok,True,True
xi,2,3.07,0.1,"[0.3237398531717766,-0.010114795733257952,0.6723179274552668]","[0.03932572669690407,0.008135809982830181,-0.2226111651305852]",ok,True,True
xi,3,3.06,0.1,"[0.03932572669690407,0.008135809982830181,-0.2226111651305852]","[0.33724618990450306,-0.007036442338956971,0.7206272350505807]",ok,True,True
xi,4,3.05,0.1,"[0.33724618990450306,-0.007036442338956971,0.7206272350505807]","[0.10371786504172029,-0.005351864525303327,-0.16132700932125932]",ok,True,True
xi,5,3.04,0.1,"[0.10371786504172029,-0.005351864525303327,-0.16132700932125932]","[0.3910013006758726,0.016967781904966575,0.6128118653457796]",ok,True,True
xi,6,3.03,0.1,"[0.3910013006758726,0.016967781904966575,0.6128118653457796]","[0.07963646511944547,-0.02137692984161617,-0.06676269878640856]",ok,True,True
xi,7,3.02,0.1,"[0.07963646511944547,-0.02137692984161617,-0.06676269878640856]","[0.3275431256532446,0.026550161227208494,0.12151317649231165]",ok,True,True
xi,8,3.01,0.1,"[0.3275431256532446,0.026550161227208494,0.12151317649231165]","[0.30110806838982007,-0.016537959648646787,0.6525085339926637]",ok,True,True
xi,9,3.0,0.1,"[0.30110806838982007,-0.016537959648646787,0.6525085339926637]","[0.13055890799950706,-0.006440673282484448,-0.12396482885280707]",ok,True,True
xi,10,2.99,0.1,"[0.13055890799950706,-0.006440673282484448,-0.12396482885280707]","[0.39164472098609027,0.019876822352787215,0.5490649092734837]",ok,True,True
xi,11,2.98,0.1,"[0.39164472098609027,0.019876822352787215,0.5490649092734837]","[0.14845455712993488,-0.021267651473140612,0.05689813917977487]",ok,True,True
xi,12,2.97,0.1,"[0.14845455712993488,-0.021267651473140612,0.05689813917977487]","[0.3454394115778452,0.023663578653774005,0.29676291621870643]",ok,True,True
xi,13,2.96,0.1,"[0.3454394115778452,0.023663578653774005,0.29676291621870643]","[0.14977569918944286,-0.02154745530163763,0.06323230635838854]",ok,True,True
xi,14,2.95,0.1,"[0.14977569918944286,-0.02154745530163763,0.06323230635838854]","[0.3880994397783904,0.02573245815682079,0.31073841397675456]",ok,True,True
xi,15,2.94,0.1,"[0.3880994397783904,0.02573245815682079,0.31073841397675456]","[0.16373860249482228,-0.007461602875862714,-0.06901905849733161]",ok,True,True
xi,16,2.93,0.1,"[0.16373860249482228,-0.007461602875862714,-0.06901905849733161]","[0.3110137526411119,-0.013878174308251404,0.6624839893245158]",ok,True,True
xi,17,2.92,0.1,"[0.3110137526411119,-0.013878174308251404,0.6624839893245158]","[0.19840479763075827,0.01820047118884543,-0.08696494612588254]",ok,True,True
xi,18,2.91,0.1,"[0.19840479763075827,0.01820047118884543,-0.08696494612588254]","[0.1447901018402884,-0.025238025900975635,0.10265335412940554]",ok,True,True
xi,19,2.9,0.1,"[0.1447901018402884,-0.025238025900975635,0.10265335412940554]","[0.3500609700968339,-0.002130987615757509,0.7069105518666992]",ok,True,True
xi,20,2.89,0.1,"[0.3500609700968339,-0.002130987615757509,0.7069105518666992]","[0.20908028113283544,0.02005973524331409,0.12706737986166156]",ok,True,True
xi,21,2.88,0.1,"[0.20908028113283544,0.02005973524331409,0.12706737986166156]","[0.35771396216134704,0.014069130255611928,0.44341267337687523]",ok,True,True
xi,22,2.87,0.1,"[0.35771396216134704,0.014069130255611928,0.44341267337687523]","[0.345277217212835,0.0022666333493453314,0.5278134199674774]",ok,True,True
xi,23,2.86,0.1,"[0.345277217212835,0.0022666333493453314,0.5278134199674774]","[0.16187739707592777,-0.025215101706587355,0.14519660592182398]",ok,True,True
xi,24,2.85,0.1,"[0.16187739707592777,-0.025215101706587355,0.14519660592182398]","[0.06822015891476245,0.0168010680406224,-0.12511484029969075]",ok,True,True
gamma,0,2.85,0.1025,"[0.06822015891476245,0.0168010680406224,-0.12511484029969075]","[0.3259091756323945,-0.005753386335946207,0.530393510730495]",ok,True,True
gamma,1,2.85,0.105,"[0.3259091756323945,-0.005753386335946207,0.530393510730495]","[0.2604077690663901,-0.001626512682160226,0.05495471255990929]",ok,True,True
gamma,2,2.85,0.1075,"[0.2604077690663901,-0.001626512682160226,0.05495471255990929]","[0.30346718264326866,0.022770241121886976,-0.01242707036926484]",ok,True,True
gamma,3,2.85,0.11,"[0.30346718264326866,0.022770241121886976,-0.01242707036926484]","[0.10458724558255454,-0.028404148569772265,0.011969358608128783]",ok,True,True
gamma,4,2.85,0.1125,"[0.10458724558255454,-0.028404148569772265,0.011969358608128783]","[0.13528974266565288,-0.0200057265832614,-0.04423559991260349]",ok,True,True
gamma,5,2.85,0.115,"[0.13528974266565288,-0.0200057265832614,-0.04423559991260349]","[0.2859629093636855,-0.00633345539062934,0.1587189625817293]",ok,True,True
gamma,6,2.85,0.11750000000000001,"[0.2859629093636855,-0.00633345539062934,0.1587189625817293]","[0.3685616121635368,-0.004134607653508205,0.7764641170459666]",ok,True,True
gamma,7,2.85,0.12000000000000001,"[0.3685616121635368,-0.004134607653508205,0.7764641170459666]","[0.38112268197827437,0.014399212221807175,0.4619760228725537]",ok,True,True
gamma,8,2.85,0.12250000000000001,"[0.38112268197827437,0.014399212221807175,0.4619760228725537]","[0.0342780456016462,-0.015513002905986124,-0.24987778793329735]",ok,True,True
gamma,9,2.85,0.125,"[0.0342780456016462,-0.015513002905986124,-0.24987778793329735]","[0.23381749157972,-0.013347270496793084,0.025920688655707527]",ok,True,True
