time,lambda_1,lambda_2,lambda_3
0.5,5.416151992933546,2.775391349859958,-27.185134522818934
1.0,1.1192357894445852,3.005309561205803,-25.33542247208989
1.5,2.543174558991185,0.47307468878961273,-23.98639057683073
2.0,1.7978338084255352,0.754871149629833,-23.32444989921639
2.5,1.8744597028822334,0.25009683924626475,-22.861167276181227
3.0,1.6358527544386494,0.4077767586759064,-22.585534183913683
3.5,1.5883847030430815,-0.039530182022462626,-22.19919914630018
4.0,1.185402661878128,0.5019692932367796,-22.008041652375464
4.5,1.3143994715892338,0.13068111926458453,-22.11581588860719
5.0,1.4021261626109767,0.08117008497668071,-21.984127045223243
5.5,1.0148592735432147,0.13783694816393308,-21.735990557421403
6.0,0.9442241718739878,0.3581175297394912,-21.589338606257993
6.5,1.0225827785334654,0.15652290907484454,-21.750763552901706
7.0,1.0547181204173666,0.1405086858047708,-21.662077648002544
7.5,0.8548741361570147,0.27860200914706695,-21.574590216418095
8.0,1.0302831448866026,0.1663580024984914,-21.481028069333725
8.5,0.89122714977996,0.012153963619982085,-21.262920418781114
9.0,0.863170796252566,0.17342847322087707,-21.137788070265888
9.5,0.8052247148592128,0.16548238529174142,-21.304797471609838
10.0,0.9969583155748166,-0.02633174386639503,-21.245776305140975
10.5,0.9023359343807197,0.09385371665895915,-21.1859960413724
11.0,1.0059648782658024,-0.03104103840357805,-21.133720115195214
11.5,0.9843601471151556,0.046165752047475264,-21.073066743143585
12.0,1.0004916356321705,-0.08589273573288274,-20.997279713588448
12.5,0.8420679490134078,0.18096198749896383,-20.92084032625611
13.0,0.938790418913512,-0.014286270762277082,-20.987596781213973
13.5,1.0056309110610788,0.004155902842329827,-21.01077919151774
14.0,0.8832795502021308,0.1446080401720829,-21.00761616494382
14.5,0.98032098146497,0.11603960063913145,-21.00398352540324
15.0,0.9467895951639157,0.12469255381866583,-21.00806600491671
15.5,0.9329563157609645,0.1742451145501875,-20.967462677669623
16.0,0.9209753399804534,0.07572519891168608,-20.941096030215082
16.5,0.9798634681742707,0.11517370625816514,-21.037782002297902
17.0,0.938088999736808,0.14564699976838966,-21.037098586626318
17.5,0.9520663367138715,0.11548180374661762,-21.02532937867066
18.0,0.9479744110530637,0.07216732021587717,-20.99360876788028
18.5,0.9081264039164542,0.06551536119382338,-20.9822187948256
19.0,0.8905788752667001,0.06258707545159319,-20.965893187979013
19.5,0.9030122725514251,0.019348297351512497,-20.99676925802671
20.0,0.9039014857466985,0.03921022163816733,-21.02662778332192
20.5,0.8943918984841183,0.05501193330151751,-21.049679698310605
21.0,0.9140480863427071,0.07762188554129394,-21.093493408560693
21.5,0.8712862949163079,0.044332353560821505,-21.048002745591866
22.0,0.8715228053261964,0.09308541389240665,-21.081318853094857
22.5,0.8245348982181685,0.116894039828705,-21.123836876206884
23.0,0.9013860286910594,0.046919309797791055,-21.135804708067106
23.5,0.862484288288255,0.07914147378669352,-21.13944973850992
24.0,0.9034845010489542,0.049959599737092054,-21.148933339729656
24.5,0.8850625774974836,0.03712346240037588,-21.136384400656045
25.0,0.8952923336945442,0.05445647341079235,-21.141500160929837
25.5,0.872531199251626,0.03335849479000379,-21.146457191444892
26.0,0.9110538332619936,0.023953604252160348,-21.14590648447522
26.5,0.7828163164354959,0.11726776848953079,-21.163143550131327
27.0,0.8951306708146463,0.029956506853112522,-21.15933439588004
27.5,0.854602591790434,0.01540838496457154,-21.14602373233112
28.0,0.8770280724808485,0.02695474337903839,-21.133601700514173
28.5,0.7810408741445981,0.10085532251585559,-21.172473514209653
29.0,0.8685837411329824,0.02523688545494254,-21.164926323760998
29.5,0.8406185987707115,0.029051705740840088,-21.148939503838545
30.0,0.8232493446423821,0.07489067898312154,-21.13169470687347
30.5,0.8465807962721417,0.012099864707799602,-21.136483073781097
31.0,0.8426959477612903,0.047790411500327264,-21.113720607386693
31.5,0.8164719438559046,0.04588183896675604,-21.136899728423277
32.0,0.8584474982631045,0.028468352301879135,-21.116606960136423
