contract,sample_id,equilibrium,radius,direction_id,sampling_mode,x0,status,destination,target_classification,target_distance_norm,target_hit,ambiguous,tail_span,closest_equilibrium,closest_equilibrium_distance
main_3x3xN,0,E0,0.001,1,sphere,"[0.001,0.0,0.0]",ok,different_from_target_under_calibrated_cloud_test,different_from_target_under_calibrated_cloud_test,0.11280685877225043,False,False,0.002114563345680106,E+,1.9268485567664536e-05
main_3x3xN,1,E0,0.001,2,sphere,"[0.0,0.001,0.0]",ok,different_from_target_under_calibrated_cloud_test,different_from_target_under_calibrated_cloud_test,0.11280464018375388,False,False,0.0020374709917118155,E+,7.184382271233947e-05
main_3x3xN,2,E0,0.001,3,sphere,"[0.0,0.0,0.001]",ok,different_from_target_under_calibrated_cloud_test,different_from_target_under_calibrated_cloud_test,0.31132698166123707,False,False,0.002124221851050557,E-,9.58957321366353e-05
main_3x3xN,3,E0,0.001,4,sphere,"[-0.001,0.0,0.0]",ok,different_from_target_under_calibrated_cloud_test,different_from_target_under_calibrated_cloud_test,0.3113270959566739,False,False,0.002114563345680106,E-,1.9268485567664536e-05
main_3x3xN,4,E0,0.001,5,sphere,"[0.0,-0.001,0.0]",ok,different_from_target_under_calibrated_cloud_test,different_from_target_under_calibrated_cloud_test,0.31133447698868344,False,False,0.0020374709917118155,E-,7.184382271233947e-05
main_3x3xN,5,E0,0.001,6,sphere,"[0.0,0.0,-0.001]",ok,different_from_target_under_calibrated_cloud_test,different_from_target_under_calibrated_cloud_test,0.11279635062139562,False,False,0.002124221851050557,E+,9.58957321366353e-05
main_3x3xN,6,E+,0.001,1,sphere,"[0.39317827374740066,0.0,0.39217827374740066]",ok,equilibrium_E+,different_from_target_under_calibrated_cloud_test,0.11305950965717174,False,False,2.1457233328631803e-06,E+,4.760659897411559e-08
main_3x3xN,7,E+,0.001,2,sphere,"[0.39217827374740066,0.001,0.39217827374740066]",ok,different_from_target_under_calibrated_cloud_test,different_from_target_under_calibrated_cloud_test,0.11304058049967547,False,False,7.230429623165172e-05,E+,6.762623829833782e-07
main_3x3xN,8,E+,0.001,3,sphere,"[0.39217827374740066,0.0,0.39317827374740066]",ok,equilibrium_E+,different_from_target_under_calibrated_cloud_test,0.1130586712260138,False,False,5.257564137620274e-06,E+,2.488204230707814e-07
main_3x3xN,9,E+,0.001,4,sphere,"[0.39117827374740066,0.0,0.39217827374740066]",ok,equilibrium_E+,different_from_target_under_calibrated_cloud_test,0.11305948543089138,False,False,2.154067635775097e-06,E+,4.78713956677795e-08
main_3x3xN,10,E+,0.001,5,sphere,"[0.39217827374740066,-0.001,0.39217827374740066]",ok,different_from_target_under_calibrated_cloud_test,different_from_target_under_calibrated_cloud_test,0.1130402359564641,False,False,7.221964194200317e-05,E+,6.757154902374847e-07
main_3x3xN,11,E+,0.001,6,sphere,"[0.39217827374740066,0.0,0.39117827374740066]",ok,equilibrium_E+,different_from_target_under_calibrated_cloud_test,0.11305863515707545,False,False,5.25678966477094e-06,E+,2.487848837729437e-07
main_3x3xN,12,E-,0.001,1,sphere,"[-0.39117827374740066,0.0,-0.39217827374740066]",ok,equilibrium_E-,different_from_target_under_calibrated_cloud_test,0.3115534481696168,False,False,2.154067635775097e-06,E-,4.78713956677795e-08
main_3x3xN,13,E-,0.001,2,sphere,"[-0.39217827374740066,0.001,-0.39217827374740066]",ok,different_from_target_under_calibrated_cloud_test,different_from_target_under_calibrated_cloud_test,0.31154575391486816,False,False,7.221964194200317e-05,E-,6.757154902374847e-07
