t,u,v
0.000000000000000000e+00,-1.049348120332588979e-02,-7.974826998815102153e-01
5.427088981909624786e-05,-1.049815514348141979e-02,-7.901603121735381041e-01
1.085417796381924957e-04,-1.050268477663135469e-02,-7.828649327187617857e-01
1.628126694572887300e-04,-1.050707075561901037e-02,-7.755965139321313595e-01
2.170835592763849914e-04,-1.051131373904614676e-02,-7.683550066424503777e-01
2.713544490954812529e-04,-1.051541439107436110e-02,-7.611403601299550070e-01
3.256253389145774601e-04,-1.051937338122906421e-02,-7.539525221634791885e-01
3.798962287336737215e-04,-1.052319138420604837e-02,-7.467914390372030198e-01
4.341671185527699829e-04,-1.052686907968066431e-02,-7.396570556069789193e-01
4.884380083718662443e-04,-1.053040715211962623e-02,-7.325493153262309098e-01
5.427088981909625057e-04,-1.053380629059542592e-02,-7.254681602814250230e-01
5.969797880100587671e-04,-1.053706718860340438e-02,-7.184135312271072715e-01
6.512506778291549201e-04,-1.054019054388144992e-02,-7.113853676205049714e-01
7.055215676482511815e-04,-1.054317705823236070e-02,-7.043836076556904136e-01
7.597924574673474429e-04,-1.054602743734883372e-02,-6.974081882973053315e-01
8.140633472864437043e-04,-1.054874239064112172e-02,-6.904590453138415018e-01
8.683342371055399658e-04,-1.055132263106733914e-02,-6.835361133104791431e-01
9.226051269246362272e-04,-1.055376887496640298e-02,-6.766393257614798928e-01
9.768760167437324886e-04,-1.055608184189363308e-02,-6.697686150421345852e-01
1.031146906562828642e-03,-1.055826225445898915e-02,-6.629239124602640532e-01
1.085417796381925011e-03,-1.056031083816793420e-02,-6.561051482872738427e-01
1.139688686201021164e-03,-1.056222832126492948e-02,-6.493122517887616185e-01
1.193959576020117534e-03,-1.056401543457955762e-02,-6.425451512546785926e-01
1.248230465839213687e-03,-1.056567291137523214e-02,-6.358037740290436446e-01
1.302501355658309840e-03,-1.056720148720053341e-02,-6.290880465392131304e-01
1.356772245477406210e-03,-1.056860189974310679e-02,-6.223978943247047146e-01
1.411043135296502363e-03,-1.056987488868614371e-02,-6.157332420655784455e-01
1.465314025115598733e-03,-1.057102119556743193e-02,-6.090940136103749625e-01
1.519584914934694886e-03,-1.057204156364092811e-02,-6.024801320036129448e-01
1.573855804753791256e-03,-1.057293673774088900e-02,-5.958915195128468012e-01
1.628126694572887409e-03,-1.057370746414849211e-02,-5.893280976552883743e-01
1.682397584391983779e-03,-1.057435449046095766e-02,-5.827897872239913291e-01
1.736668474211079932e-03,-1.057487856546316697e-02,-5.762765083136041078e-01
1.790939364030176085e-03,-1.057528043900170765e-02,-5.697881803456908978e-01
1.845210253849272454e-03,-1.057556086186139249e-02,-5.633247220936252742e-01
1.899481143668368607e-03,-1.057572058564417404e-02,-5.568860517070571836e-01
1.953752033487464977e-03,-1.057576036265047391e-02,-5.504720867359580438e-01
2.008022923306561347e-03,-1.057568094576287650e-02,-5.440827441542450682e-01
2.062293813125657283e-03,-1.057548308833219930e-02,-5.377179403829895898e-01
2.116564702944753653e-03,-1.057516754406587212e-02,-5.313775913132107176e-01
2.170835592763850023e-03,-1.057473506691865642e-02,-5.250616123282592085e-01
2.225106482582945959e-03,-1.057418641098562852e-02,-5.187699183257942215e-01
2.279377372402042329e-03,-1.057352233039744564e-02,-5.125024237393556170e-01
2.333648262221138699e-03,-1.057274357921784459e-02,-5.062590425595375754e-01
2.387919152040235068e-03,-1.057185091134335737e-02,-5.000396883547649773e-01
2.442190041859331005e-03,-1.057084508040522994e-02,-4.938442742916768213e-01
2.496460931678427374e-03,-1.056972683967349370e-02,-4.876727131551213401e-01
2.550731821497523744e-03,-1.056849694196318641e-02,-4.815249173677662586e-01
2.605002711316619680e-03,-1.056715613954270321e-02,-4.754007990093272462e-01
2.659273601135716050e-03,-1.056570518404421552e-02,-4.693002698354198365e-01
2.713544490954812420e-03,-1.056414482637617509e-02,-4.632232412960384238e-01
2.767815380773908790e-03,-1.056247581663785455e-02,-4.571696245536659431e-01
2.822086270593004726e-03,-1.056069890403589159e-02,-4.511393305010187871e-01
2.876357160412101096e-03,-1.055881483680284200e-02,-4.451322697784315663e-01
