t,u,v
0.000000000000000000e+00,-1.112053574995897423e-02,-7.974826998815102153e-01
2.000000000000000042e-03,-1.118003814891982590e-02,-5.359626550063933959e-01
4.000000000000000083e-03,-1.107415666473547493e-02,-3.091807134710381488e-01
6.000000000000000125e-03,-1.084157946299345657e-02,-1.124048705076080151e-01
8.000000000000000167e-03,-1.051694736492604990e-02,5.908618826145133063e-02
1.000000000000000021e-02,-1.012888853527098461e-02,2.094797007587916593e-01
1.200000000000000025e-02,-9.700046380422783915e-03,3.422983828245694249e-01
1.400000000000000029e-02,-9.247877389534774062e-03,4.604397625436463803e-01
1.600000000000000033e-02,-8.785622415117138456e-03,5.662717695409086316e-01
1.800000000000000211e-02,-8.323208178105934857e-03,6.617350695148227491e-01
2.000000000000000042e-02,-7.868003791252155960e-03,7.484340211978840474e-01
2.199999999999999872e-02,-7.425427311854264703e-03,8.277118579022183509e-01
2.400000000000000050e-02,-6.999422058416649058e-03,9.007110187497495701e-01
2.600000000000000228e-02,-6.592827921194578840e-03,9.684212124659833387e-01
2.800000000000000058e-02,-6.207671187704778479e-03,1.031717994985781983e+00
2.999999999999999889e-02,-5.845392622285747707e-03,1.091394345371052177e+00
3.200000000000000067e-02,-5.507029700821271766e-03,1.148187329065973206e+00
3.400000000000000244e-02,-5.193365693441744264e-03,1.202801592799468633e+00
3.600000000000000422e-02,-4.905055863889745509e-03,1.255931189733847209e+00
3.799999999999999906e-02,-4.642739383698964856e-03,1.308281097769117718e+00
4.000000000000000083e-02,-4.407144570157675405e-03,1.360589769353205192e+00
4.200000000000000261e-02,-4.199194690193418754e-03,1.413654140036480156e+00
4.399999999999999745e-02,-4.020121796909676033e-03,1.468358732456707783e+00
4.599999999999999922e-02,-3.871596869515791552e-03,1.525710833022823065e+00
4.800000000000000100e-02,-3.755885878815401566e-03,1.586884196351607823e+00
5.000000000000000278e-02,-3.676043147807167479e-03,1.653274327134645505e+00
5.200000000000000455e-02,-3.636155012443852662e-03,1.726568999906340274e+00
5.399999999999999939e-02,-3.641646900151303008e-03,1.808837997054872471e+00
5.600000000000000117e-02,-3.699661997064771380e-03,1.902645276502070271e+00
5.800000000000000294e-02,-3.819501395407173035e-03,2.011183021722799946e+00
5.999999999999999778e-02,-4.013065826838866160e-03,2.138416050733891183e+00
6.199999999999999956e-02,-4.295121128919369806e-03,2.289198228029512006e+00
6.400000000000000133e-02,-4.682960303681498251e-03,2.469264617198664968e+00
6.600000000000000311e-02,-5.194584041610932068e-03,2.684895837188551848e+00
6.800000000000000488e-02,-5.843931124502544684e-03,2.941902960071258288e+00
7.000000000000000666e-02,-6.631594309866943940e-03,3.243525508634284016e+00
7.200000000000000844e-02,-7.531665442072759363e-03,3.587274147213726838e+00
7.399999999999999634e-02,-8.481673507483276225e-03,3.962132259805813295e+00
7.599999999999999811e-02,-9.388643307432931878e-03,4.349017172076825588e+00
7.799999999999999989e-02,-1.015669488314633814e-02,4.726073475755846687e+00
8.000000000000000167e-02,-1.071981102980644300e-02,5.075754984277021542e+00
8.200000000000000344e-02,-1.105621840620753076e-02,5.388667932286278273e+00
8.400000000000000522e-02,-1.118038170699276086e-02,5.662847826287132236e+00
8.600000000000000699e-02,-1.112604458158895221e-02,5.900880127994517999e+00
8.799999999999999489e-02,-1.093218356233894781e-02,6.107262637416553730e+00
8.999999999999999667e-02,-1.063518000537779125e-02,6.286807695704515808e+00
9.199999999999999845e-02,-1.026575971643377619e-02,6.443911518913248315e+00
9.400000000000000022e-02,-9.848522913982211274e-03,6.582322515172736033e+00
9.600000000000000200e-02,-9.402573469592065761e-03,6.705140371401878241e+00
9.800000000000000377e-02,-8.942471502779063622e-03,6.814900500402396588e+00
1.000000000000000056e-01,-8.479172578089361201e-03,6.913677201036239062e+00
1.020000000000000073e-01,-8.020836034362979414e-03,7.003179402168944634e+00
1.040000000000000091e-01,-7.573480730708479457e-03,7.084831236209950589e+00
1.059999999999999970e-01,-7.141502650961152263e-03,7.159837143949837390e+00
1.079999999999999988e-01,-6.728078948885809520e-03,7.229233771171497125e+00
1.100000000000000006e-01,-6.335482931747795157e-03,7.293931458422458824e+00
1.120000000000000023e-01,-5.965331068725598061e-03,7.354747932478690409e+00
1.140000000000000041e-01,-5.618779171454679408e-03,7.412436421080055737e+00
1.160000000000000059e-01,-5.296681438943391315e-03,7.467710042028583572e+00
1.180000000000000077e-01,-4.999723368104620758e-03,7.521264036241556816e+00
1.199999999999999956e-01,-4.728537613348626767e-03,7.573797241153484627e+00
1.219999999999999973e-01,-4.483810666824190015e-03,7.626034138630722659e+00
1.239999999999999991e-01,-4.266387658391629367e-03,7.678748861529911984e+00
1.260000000000000009e-01,-4.077382600746782236e-03,7.732792710595783880e+00
1.280000000000000027e-01,-3.918302014406082473e-03,7.789127028433800781e+00
1.300000000000000044e-01,-3.791191041366444303e-03,7.848863708922968918e+00
1.320000000000000062e-01,-3.698812801441662274e-03,7.913316181117480141e+00
1.340000000000000080e-01,-3.644873514858466921e-03,7.984064332226994409e+00
1.360000000000000098e-01,-3.634306795607307374e-03,8.063037308823338023e+00
1.380000000000000115e-01,-3.673627898139542394e-03,8.152617874588578673e+00
1.400000000000000133e-01,-3.771356326827034200e-03,8.255769578309227086e+00
1.420000000000000151e-01,-3.938469059310838356e-03,8.376180145678347344e+00
1.440000000000000169e-01,-4.188757414640803881e-03,8.518394387613581031e+00
1.459999999999999909e-01,-4.538764356722466489e-03,8.687864641015607958e+00
1.479999999999999927e-01,-5.006601284068152961e-03,8.890757735204745771e+00
1.499999999999999944e-01,-5.608371222866524730e-03,9.133217556538953730e+00
1.519999999999999962e-01,-6.350526431362632680e-03,9.419665905945766582e+00
1.539999999999999980e-01,-7.217643476651876971e-03,9.749933426249711488e+00
1.559999999999999998e-01,-8.160025700232727275e-03,1.011606472418147007e+01
1.580000000000000016e-01,-9.092890942273565771e-03,1.050134182906870706e+01
1.600000000000000033e-01,-9.917372848426739274e-03,1.088403069237380905e+01
1.620000000000000051e-01,-1.055448147636036359e-02,1.124445553425487176e+01
1.640000000000000069e-01,-1.096744806373920259e-02,1.157034704821512427e+01
1.660000000000000087e-01,-1.116025603373348510e-02,1.185750570685708993e+01
1.680000000000000104e-01,-1.116198863943079767e-02,1.210731638722196024e+01
1.700000000000000122e-01,-1.101103158903970688e-02,1.232386215123623074e+01
1.720000000000000140e-01,-1.074517606210707854e-02,1.251196610112807583e+01
1.740000000000000158e-01,-1.039720414426097139e-02,1.267620916589940983e+01
1.759999999999999898e-01,-9.993751099872393712e-03,1.282056651188539398e+01
1.779999999999999916e-01,-9.555679828382646415e-03,1.294835017198916738e+01
1.799999999999999933e-01,-9.098978088719310298e-03,1.306227504839685416e+01
1.819999999999999951e-01,-8.635722940481536589e-03,1.316456008723929472e+01
1.839999999999999969e-01,-8.174938863018781088e-03,1.325702800829148131e+01
1.859999999999999987e-01,-7.723304548992959012e-03,1.334119127443537955e+01
1.880000000000000004e-01,-7.285714687897058318e-03,1.341832224428348397e+01
1.900000000000000022e-01,-6.865719574133369481e-03,1.348950922773275529e+01
1.920000000000000040e-01,-6.465867665079037124e-03,1.355570118781217559e+01
1.940000000000000058e-01,-6.087973476369779556e-03,1.361774380171921273e+01
1.960000000000000075e-01,-5.733329268879107030e-03,1.367640923812385978e+01
1.980000000000000093e-01,-5.402875308542743997e-03,1.373242161920105353e+01
2.000000000000000111e-01,-5.097340521865938168e-03,1.378647982049324128e+01
2.020000000000000129e-01,-4.817363196607180910e-03,1.383927905118672363e+01
2.040000000000000147e-01,-4.563599934781093458e-03,1.389153255758182759e+01
2.060000000000000164e-01,-4.336830282326373069e-03,1.394399480419878934e+01
2.080000000000000182e-01,-4.138064286250094266e-03,1.399748761381228768e+01
2.099999999999999922e-01,-3.968660643116499014e-03,1.405293099836937110e+01
2.119999999999999940e-01,-3.830464090169851191e-03,1.411138079766406861e+01
2.139999999999999958e-01,-3.725972196887425772e-03,1.417407576277194714e+01
2.159999999999999976e-01,-3.658543509764139098e-03,1.424249733852125743e+01
2.179999999999999993e-01,-3.632660369219153744e-03,1.431844596537485437e+01
2.200000000000000011e-01,-3.654258738571211640e-03,1.440413781271848848e+01
2.220000000000000029e-01,-3.731129374664576403e-03,1.450232440786664689e+01
2.240000000000000047e-01,-3.873368878739540631e-03,1.461643215763199777e+01
2.260000000000000064e-01,-4.093792531207174346e-03,1.475070388670536126e+01
2.280000000000000082e-01,-4.408068581814555964e-03,1.491028963716058620e+01
2.300000000000000100e-01,-4.834025252786574266e-03,1.510116185145039935e+01
2.320000000000000118e-01,-5.389063881472869015e-03,1.532960548387837285e+01
2.340000000000000135e-01,-6.084064573745553810e-03,1.560089027173472331e+01
2.360000000000000153e-01,-6.912561311666509667e-03,1.591677797568991792e+01
2.380000000000000171e-01,-7.837425694542968571e-03,1.627223570710112099e+01
2.399999999999999911e-01,-8.784548403710967096e-03,1.665335039410298990e+01
2.419999999999999929e-01,-9.656214905482841254e-03,1.703937067098719638e+01
2.439999999999999947e-01,-1.036313476253102397e-02,1.740913137969252844e+01
2.459999999999999964e-01,-1.085326634047276487e-02,1.774754523493174574e+01
2.479999999999999982e-01,-1.111818736007879824e-02,1.804786689238829567e+01
2.500000000000000000e-01,-1.118046583336816668e-02,1.830993974356564991e+01
2.520000000000000018e-01,-1.107677317788063713e-02,1.853720869017445594e+01
2.540000000000000036e-01,-1.084582584763953486e-02,1.873439862478402418e+01
2.560000000000000053e-01,-1.052234699760112857e-02,1.890623625404159469e+01
2.580000000000000071e-01,-1.013505781425913868e-02,1.905691842547890147e+01
2.600000000000000089e-01,-9.706686491869708985e-03,1.918997776883667328e+01
2.620000000000000107e-01,-9.254760131079625349e-03,1.930832053740242671e+01
2.640000000000000124e-01,-8.792575815660308783e-03,1.941432183017328938e+01
2.660000000000000142e-01,-8.330103982973884741e-03,1.950992800951469164e+01
2.680000000000000160e-01,-7.874747258862752064e-03,1.959674788180230465e+01
2.700000000000000178e-01,-7.431949142653181996e-03,1.967612811586559829e+01
